^SAMPLE=GSM804
!Sample_status = Public on Feb 12 2002
!Sample_title = CGH_Albertson_GM05296-001218
!Sample_type = dual channel genomic
!Sample_organism = Homo sapiens
!Sample_target_source1 = Cell line GM05296
!Sample_target_source2 = normal male reference genomic DNA
!Sample_description = Coriell Cell Repositories cell line <a href="http://locus.umdnj.edu/nigms/nigms_cgi/display.cgi?GM05296">GM05296</a>.
!Sample_description = Fibroblast cell line derived from a 1 month old female with multiple congenital malformations, dysmorphic features, intrauterine growth retardation, heart murmur, cleft palate, equinovarus deformity, microcephaly, coloboma of right iris, clinodactyly, reduced RBC catalase activity, and 1 copy of catalase gene.
!Sample_description = Chromosome abnormalities are present.
!Sample_description = Karyotype is 46,XX,-11,+der(11)inv ins(11;10)(11pter> 11p13::10q21>10q24::11p13>11qter)mat
!Sample_author = Antoine,M,Snijders
!Sample_author = Norma,,Nowak
!Sample_author = Richard,,Segraves
!Sample_author = Stephanie,,Blackwood
!Sample_author = Nils,,Brown
!Sample_author = Jeffery,,Conroy
!Sample_author = Greg,,Hamilton
!Sample_author = Anna,K,Hindle
!Sample_author = Bing,,Huey
!Sample_author = Karen,,Kimura
!Sample_author = Sindy,,Law
!Sample_author = Ken,,Myambo
!Sample_author = Joel,,Palmer
!Sample_author = Bauke,,Ylstra
!Sample_author = Jingzhu,P,Yue
!Sample_author = Joe,W,Gray
!Sample_author = Ajay,N,Jain
!Sample_author = Daniel,,Pinkel
!Sample_author = Donna,G,Albertson
!Sample_pubmed_id = 11687795
!Sample_submission_date = Jan 17 2002
!Sample_submitter_name = Donna,G,Albertson
!Sample_submitter_email = albertson@cc.ucsf.edu
!Sample_submitter_institute = University of California San Francisco
!Sample_submitter_department = Comprehensive Cancer Center
!Sample_submitter_city = San Francisco,CA,94143,USA
!Sample_submitter_phone = 415 502-8463
!Sample_platform_id = GPL28
!Sample_series_id = GSE16
#ID_REF = Unique row identifier, genome position order
#VALUE = aka LOG2RATIO, mean of log base 2 of LINEAR_RATIO
#LINEAR_RATIO = Mean of replicate Cy3/Cy5 ratios
#LOG2STDDEV = Standard deviation of VALUE
#NO_REPLICATES = Number of replicate spot measurements
ID_REF	VALUE	LINEAR_RATIO	LOG2STDDEV	NO_REPLICATES
1		1.047765	0.011853	3
2				0
3	0.008824	1.006135	0.00143	3
4	-0.000894	0.99938	0.001454	3
5	0.075875	1.054	0.003077	3
6	0.017303	1.012066	0.005876	2
7	-0.006766	0.995321	0.013881	3
8	0.020755	1.014491	0.005506	3
9	-0.094938	0.936313	0.012662	3
10	-0.054527	0.96291	0.01073	3
11	-0.025057	0.982782	0.003855	3
12				0
13	0.108454	1.078072	0.005196	3
14	0.078633	1.056017	0.009165	3
15	0.098571	1.070712	0.007834	3
16	0.044048	1.031003	0.013651	3
17	0.018039	1.012582	0.005471	3
18	-0.088807	0.9403	0.010571	3
19	0.016349	1.011397	0.007113	3
20	0.030977	1.021704	0.016798	3

